Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
SMSEMOA,1,400,240,400,29.652868,0.005500847650058497,0.03769544270190602,0.8350950010724902,0.001892273961843729,1.0674422382933686e-05
SMSEMOA,1,400,245,400,26.094482,0.0054605239757008804,0.03762960428337178,0.8351582037190108,0.001895148610008177,1.0706879117051139e-05
SMSEMOA,1,400,250,400,26.628857,0.00537030570619605,0.036653168406871064,0.8353310786730381,0.0018820047108474656,1.0461022779251193e-05
SMSEMOA,1,400,255,400,27.236851,0.0054143081100974455,0.03661362990843487,0.8353737910336898,0.0018091700257637522,9.666995200366588e-06
SMSEMOA,1,400,260,400,28.36849,0.005308336477138131,0.03645452289506587,0.835395869435345,0.0018201276111927153,9.784449842675052e-06
SMSEMOA,1,400,265,400,22.96142,0.0053286579839949685,0.03607102964257118,0.8354241480262139,0.0019315376523129232,1.1018921582109706e-05
SMSEMOA,1,400,270,400,26.900681,0.005331208681525507,0.03485811961414218,0.8357836009942914,0.001940647700058756,1.030366471493453e-05
SMSEMOA,1,400,275,400,23.451983,0.0054669007379862045,0.034647152983320655,0.8358452359624376,0.002041546348478058,1.140293903350728e-05
SMSEMOA,1,400,280,400,24.993003,0.005512368407391262,0.0317470815914651,0.8371921296847593,0.0023406577191407655,1.3985103511295034e-05
SMSEMOA,1,400,285,400,23.918894,0.005463968712095534,0.03165695148905372,0.8390453911732344,0.0022201827409926607,1.2521049264368878e-05
SMSEMOA,1,400,290,400,24.72686,0.005423068525316634,0.031223963218919515,0.8391362690411288,0.002167932579680846,1.1938639097350843e-05
SMSEMOA,1,400,295,400,29.172644,0.005350490756186313,0.031080397898780667,0.8399671568036344,0.002039622838764471,1.054988352283335e-05
SMSEMOA,1,400,300,400,24.834736,0.0053249756850492404,0.029801570834774756,0.8400656985912459,0.002281323715741606,1.319585673521163e-05
SMSEMOA,1,400,305,400,24.643389,0.0053461008434419165,0.029232738208269084,0.8405125275099701,0.0024203146665776297,1.4609730498968871e-05
SMSEMOA,1,400,310,400,24.030931,0.005310968540129095,0.030153677389950825,0.8405401218956483,0.002313019988002342,1.3929088856469271e-05
SMSEMOA,1,400,315,400,30.13267,0.005291371171768359,0.030921607076138228,0.840598383518516,0.0021104283502102784,1.1595918702885908e-05
SMSEMOA,1,400,320,400,26.882643,0.005413629620483025,0.030536524364678613,0.8442150753516788,0.0021110651359345822,1.1618461930983596e-05
SMSEMOA,1,400,325,400,28.615013,0.005495821038450109,0.029063642409058343,0.8453983762668087,0.002017574865349852,1.0365152393424296e-05
SMSEMOA,1,400,330,400,26.127059,0.005433437849851086,0.029133073795253175,0.8454433430565821,0.0021175432808334086,1.1446529217674632e-05
SMSEMOA,1,400,335,400,24.843624,0.005483566926422106,0.029116464532161383,0.8454516404748676,0.0021385102601358163,1.1674328409481896e-05
SMSEMOA,1,400,340,400,23.321072,0.005496468324156951,0.028887802498139242,0.8455042249938323,0.002172000999810006,1.2042849844030444e-05
SMSEMOA,1,400,345,400,24.996686,0.005515538110651554,0.02692736497398226,0.8492094720694423,0.0029521357280581154,1.9754627772694323e-05
SMSEMOA,1,400,350,400,28.658941,0.0055964165357872435,0.02663422385940377,0.8492659587228865,0.002945888341021465,1.967110571951395e-05
SMSEMOA,1,400,355,400,22.585561,0.005607473606682777,0.026914581770531635,0.8497804258458483,0.0025075619049476075,1.4231875634126374e-05
SMSEMOA,1,400,360,400,25.86079,0.005538190826621756,0.027617642411409703,0.849879215902426,0.0023147896658481603,1.2837039144160487e-05
SMSEMOA,1,400,365,400,33.435375,0.005581747236736272,0.027348040899095035,0.8500061748449873,0.0021956783273540284,1.14933326438822e-05
SMSEMOA,1,400,370,400,24.729387,0.005508115665241798,0.026362322102998593,0.8518437296301816,0.002228650561655568,1.1768099262481638e-05
SMSEMOA,1,400,375,400,25.719538,0.005563859243155656,0.026221996116748768,0.8519160285028482,0.0022818226342698326,1.2336334366926555e-05
SMSEMOA,1,400,380,400,24.786993,0.00560234453830471,0.026154196731704382,0.8527153788370455,0.002219209197682519,1.167143153427422e-05
SMSEMOA,1,400,385,400,26.051963,0.005558242433933034,0.025439323035682675,0.852768954307293,0.002193638635635216,1.1166229355195353e-05
